Price,AreaSqFt,Bedrooms,Bathrooms,AgeYears,LotSizeSqFt,GarageSpaces,Stories,Neighborhood,HouseStyle,HasPool,DistanceToCityKm,SchoolRating,Renovated
323700.0,2080.0,4,3.0,35,,1,2,Oak Park,Contemporary,0,11.3,5.0,0
279200.0,1073.0,2,2.0,16,1234.0,3,2,Downtown Loft District,Contemporary,0,31.4,5.0,0
326300.0,1077.0,1,1.0,27,2805.0,2,2,Downtown Loft District,Townhouse,1,4.2,6.0,1
398800.0,1685.0,3,3.0,70,3580.0,2,2,Riverside Heights,Contemporary,0,1.8,,0
643900.0,2741.0,6,3.0,4,4212.0,3,2,Riverside Heights,Craftsman,0,1.7,10.0,0
295800.0,2077.0,2,1.0,23,3133.0,2,3,Elm Street,Contemporary,0,6.9,7.0,1
652600.0,2723.0,6,4.0,3,4451.0,1,2,Sunset Hills,Colonial,1,7.1,8.0,0
166600.0,1135.0,1,1.0,28,1857.0,3,1,Industrial Quarter,Contemporary,0,0.3,7.0,1
352400.0,1570.0,3,2.0,3,2308.0,2,2,Maple Grove,Craftsman,0,1.2,9.0,0
191100.0,1247.0,3,2.0,22,3108.0,2,2,Industrial Quarter,Ranch,0,7.9,5.0,1
375700.0,2674.0,6,5.0,7,3551.0,2,2,Industrial Quarter,Colonial,0,9.7,9.0,0
486200.0,2316.0,4,3.0,2,4940.0,1,2,Oak Park,Contemporary,1,7.6,4.0,0
313500.0,1804.0,2,1.0,43,2310.0,1,2,Sunset Hills,Colonial,0,18.7,3.0,1
486900.0,2520.0,5,3.0,8,3729.0,1,2,Oak Park,Contemporary,0,7.3,8.0,0
276800.0,1459.0,2,1.0,7,2944.0,1,2,Elm Street,Craftsman,0,1.4,9.0,0
292000.0,1677.0,3,3.0,24,3981.0,3,1,Industrial Quarter,Colonial,1,0.5,6.0,1
201000.0,1422.0,2,2.0,15,1052.0,2,2,Elm Street,Colonial,0,12.2,7.0,0
204700.0,721.0,2,1.0,1,800.0,1,1,Downtown Loft District,Townhouse,0,4.8,9.0,0
325400.0,2744.0,5,4.0,42,4744.0,2,2,Industrial Quarter,Colonial,0,15.1,8.0,0
207500.0,1118.0,2,2.0,10,800.0,0,2,Oak Park,Craftsman,0,3.6,5.0,0
560300.0,2849.0,4,3.0,15,3757.0,1,2,Oak Park,Ranch,1,5.6,7.0,0
394500.0,1831.0,4,3.0,74,2322.0,1,1,Riverside Heights,Ranch,0,2.2,4.0,1
240800.0,1622.0,2,1.0,12,800.0,2,2,Elm Street,Craftsman,0,4.4,4.0,0
314700.0,1438.0,1,1.0,10,1549.0,1,1,Sunset Hills,Ranch,0,2.2,8.0,0
306600.0,1159.0,2,3.0,44,1579.0,2,2,Riverside Heights,Craftsman,0,7.6,6.0,0
376300.0,2004.0,3,2.0,9,3062.0,2,1,Oak Park,Colonial,0,22.6,9.0,1
149200.0,500.0,2,1.0,4,800.0,2,2,Oak Park,Colonial,0,0.5,6.0,1
694600.0,3065.0,5,4.0,13,3857.0,2,2,Sunset Hills,Contemporary,0,0.5,6.0,1
395400.0,1695.0,3,2.0,5,2225.0,3,2,Oak Park,Colonial,1,5.1,7.0,1
204000.0,987.0,2,2.0,24,1109.0,2,2,Elm Street,Colonial,0,0.5,7.0,0
635200.0,2793.0,4,3.0,25,4207.0,2,1,Riverside Heights,Contemporary,0,2.0,6.0,0
175400.0,962.0,1,1.0,4,800.0,3,2,Elm Street,Craftsman,0,1.5,5.0,0
272400.0,1401.0,2,1.0,5,1648.0,1,2,Oak Park,Craftsman,0,1.6,6.0,0
506100.0,2419.0,5,3.0,5,3458.0,1,2,Sunset Hills,Craftsman,0,6.2,5.0,1
206900.0,1280.0,3,2.0,61,1460.0,2,1,Maple Grove,Craftsman,0,8.0,2.0,1
390100.0,1687.0,4,3.0,0,829.0,0,2,Oak Park,Colonial,0,2.3,5.0,1
183800.0,1192.0,2,2.0,42,1983.0,1,3,Industrial Quarter,Craftsman,0,2.8,8.0,1
222200.0,1441.0,3,3.0,21,2234.0,0,1,Maple Grove,Townhouse,0,1.2,5.0,0
267600.0,1339.0,3,3.0,21,2192.0,0,1,Oak Park,Contemporary,0,21.6,7.0,0
676600.0,3084.0,6,6.0,1,4164.0,3,2,Riverside Heights,Townhouse,0,8.9,6.0,0
391200.0,2327.0,4,2.0,10,2585.0,0,2,Maple Grove,Colonial,0,3.5,8.0,1
571100.0,2158.0,4,2.0,3,2884.0,2,1,Riverside Heights,Craftsman,1,3.5,8.0,1
412600.0,2907.0,6,5.0,18,4640.0,2,1,Industrial Quarter,Townhouse,0,6.4,7.0,0
272900.0,996.0,1,1.0,27,1064.0,2,2,Downtown Loft District,Craftsman,0,6.0,6.0,0
409800.0,2558.0,6,5.0,12,2465.0,2,1,Maple Grove,Contemporary,0,9.7,6.0,0
312200.0,2199.0,4,2.0,16,1482.0,1,1,Elm Street,Colonial,0,9.4,6.0,0
245300.0,986.0,3,2.0,1,800.0,3,1,Sunset Hills,Colonial,0,9.2,4.0,0
467900.0,2940.0,5,4.0,28,3675.0,2,2,Industrial Quarter,Townhouse,0,3.1,6.0,0
283000.0,1831.0,3,2.0,39,3181.0,0,1,Oak Park,Contemporary,0,9.6,6.0,0
246200.0,1109.0,2,2.0,22,2332.0,2,2,Maple Grove,Contemporary,0,5.0,8.0,0
211300.0,1175.0,1,1.0,12,1075.0,2,3,Elm Street,Ranch,0,3.0,8.0,0
360400.0,1713.0,5,3.0,8,2261.0,2,2,Oak Park,Craftsman,0,15.4,8.0,0
296400.0,1741.0,3,2.0,9,3263.0,1,3,Elm Street,Ranch,1,11.5,6.0,0
386400.0,2246.0,4,4.0,24,3830.0,1,2,Maple Grove,Townhouse,0,0.6,8.0,0
356400.0,1650.0,3,2.0,5,2851.0,3,1,Lakeview,Contemporary,0,2.3,3.0,1
585900.0,3094.0,6,5.0,5,4482.0,2,3,Sunset Hills,Ranch,0,1.2,5.0,0
412100.0,2526.0,6,5.0,3,4068.0,3,2,Elm Street,Townhouse,0,6.4,9.0,1
361800.0,2609.0,5,4.0,0,,0,2,Industrial Quarter,Colonial,0,2.1,8.0,0
426900.0,1464.0,1,1.0,60,2704.0,3,1,Downtown Loft District,Townhouse,0,1.5,10.0,0
247500.0,1323.0,3,2.0,22,2371.0,1,2,Elm Street,Craftsman,0,8.3,8.0,0
323700.0,1871.0,3,1.0,43,2562.0,2,3,Oak Park,Ranch,0,0.3,5.0,1
184500.0,1308.0,3,2.0,10,1415.0,2,3,Elm Street,Colonial,0,29.7,5.0,0
372500.0,2158.0,4,3.0,33,3416.0,2,1,Maple Grove,Ranch,0,6.7,5.0,1
590400.0,3145.0,5,4.0,70,4546.0,1,1,Sunset Hills,Contemporary,0,0.3,8.0,0
358400.0,2483.0,6,4.0,12,2975.0,1,2,Maple Grove,Ranch,0,19.6,6.0,0
425500.0,1743.0,4,3.0,0,1911.0,1,1,Lakeview,Contemporary,1,8.2,,1
634300.0,2616.0,7,5.0,0,2949.0,2,1,Sunset Hills,Ranch,0,2.0,6.0,0
243400.0,1511.0,3,2.0,37,1530.0,1,1,Maple Grove,Townhouse,0,4.4,7.0,0
159000.0,1036.0,1,1.0,35,2331.0,2,2,Elm Street,Colonial,1,7.4,4.0,0
262800.0,1933.0,3,2.0,35,2291.0,2,3,Maple Grove,Ranch,0,5.9,6.0,0
367900.0,1968.0,3,3.0,6,3396.0,3,2,Oak Park,Townhouse,0,22.5,7.0,0
557200.0,2197.0,4,3.0,13,3822.0,2,1,Riverside Heights,Ranch,1,0.5,,0
261700.0,1102.0,3,2.0,20,1652.0,3,2,Lakeview,Contemporary,0,4.6,5.0,0
296000.0,1220.0,1,1.0,11,800.0,0,1,Downtown Loft District,Colonial,0,6.3,9.0,1
488300.0,2278.0,4,2.0,16,2612.0,2,1,Riverside Heights,Colonial,0,2.5,4.0,0
167400.0,862.0,1,1.0,26,800.0,1,1,Oak Park,Ranch,0,1.7,7.0,1
403000.0,1791.0,4,3.0,20,3347.0,2,2,Oak Park,Ranch,0,0.3,7.0,0
420200.0,2205.0,4,3.0,11,4000.0,1,1,Oak Park,Colonial,1,4.9,6.0,0
142400.0,718.0,1,1.0,11,800.0,2,1,Elm Street,Townhouse,0,12.7,7.0,1
369700.0,2248.0,4,3.0,41,2918.0,1,1,Maple Grove,Craftsman,0,3.2,6.0,0
671400.0,3189.0,6,5.0,28,4332.0,0,2,Sunset Hills,Craftsman,0,16.6,7.0,0
531400.0,2662.0,4,3.0,38,4429.0,1,3,Lakeview,Colonial,0,1.9,6.0,1
512600.0,2373.0,4,3.0,28,3712.0,2,1,Riverside Heights,Craftsman,0,11.0,6.0,0
118000.0,500.0,1,1.0,3,800.0,3,2,Industrial Quarter,Colonial,0,7.7,5.0,0
285600.0,1787.0,2,1.0,21,2191.0,2,1,Maple Grove,Ranch,0,4.9,9.0,0
498500.0,2034.0,4,3.0,37,3394.0,2,2,Sunset Hills,Ranch,0,9.6,7.0,1
394700.0,1747.0,3,2.0,27,3024.0,2,1,Oak Park,Townhouse,0,2.6,8.0,0
345400.0,2503.0,4,2.0,19,2905.0,2,1,Industrial Quarter,Townhouse,1,0.5,7.0,0
420900.0,1837.0,4,3.0,4,2698.0,2,2,Lakeview,Townhouse,0,7.4,6.0,0
407400.0,2879.0,5,3.0,25,3580.0,3,1,Elm Street,Ranch,0,24.9,9.0,0
307900.0,1741.0,3,2.0,26,2669.0,1,1,Sunset Hills,Craftsman,0,10.3,7.0,0
143800.0,500.0,1,1.0,3,1014.0,2,2,Maple Grove,Ranch,0,11.3,9.0,1
439000.0,2235.0,4,3.0,13,2817.0,0,2,Oak Park,Townhouse,0,0.9,6.0,1
495500.0,2635.0,6,4.0,29,3972.0,2,2,Oak Park,Craftsman,0,12.3,9.0,1
428000.0,,5,4.0,25,2496.0,3,2,Maple Grove,Contemporary,0,5.1,4.0,0
651000.0,2642.0,4,3.0,3,5133.0,2,2,Riverside Heights,Colonial,0,3.3,3.0,0
269800.0,1157.0,2,1.0,61,800.0,1,1,Riverside Heights,Contemporary,0,0.9,7.0,1
521300.0,2489.0,6,4.0,68,3371.0,3,2,Sunset Hills,Colonial,0,10.1,7.0,0
416000.0,2310.0,3,3.0,76,4210.0,2,2,Downtown Loft District,Craftsman,0,13.6,7.0,0
332900.0,1648.0,3,2.0,3,800.0,1,2,Lakeview,Ranch,0,21.6,5.0,0
219200.0,1037.0,1,1.0,7,992.0,1,1,Oak Park,Townhouse,0,9.6,7.0,0
617000.0,2616.0,4,3.0,0,2984.0,2,2,Sunset Hills,Townhouse,0,3.2,8.0,0
306700.0,2515.0,5,4.0,67,3436.0,2,2,Industrial Quarter,Ranch,0,30.4,5.0,0
359100.0,1797.0,3,3.0,39,2118.0,0,1,Sunset Hills,Ranch,0,5.9,9.0,0
804100.0,3068.0,5,4.0,12,5173.0,1,1,Downtown Loft District,Craftsman,1,6.7,5.0,1
359100.0,2076.0,3,3.0,18,4532.0,2,1,Oak Park,Craftsman,0,5.6,7.0,0
570700.0,2083.0,4,3.0,8,2850.0,1,2,Riverside Heights,Colonial,0,9.9,4.0,0
391800.0,2868.0,4,2.0,35,3809.0,2,1,Elm Street,Craftsman,0,24.3,5.0,1
325400.0,1288.0,2,2.0,9,1507.0,0,2,Downtown Loft District,Ranch,0,4.1,4.0,0
369300.0,2120.0,4,2.0,0,3250.0,2,2,Elm Street,Ranch,0,3.6,7.0,0
556700.0,2197.0,3,3.0,3,2684.0,3,3,Riverside Heights,Ranch,1,4.6,7.0,0
540000.0,2858.0,6,5.0,69,2805.0,1,1,Oak Park,Craftsman,0,5.5,7.0,0
268400.0,1262.0,3,2.0,5,800.0,2,2,Maple Grove,Contemporary,1,2.4,6.0,0
409300.0,2379.0,4,3.0,29,2536.0,3,2,Maple Grove,Contemporary,0,14.1,8.0,0
343200.0,2613.0,5,4.0,36,3744.0,1,2,Industrial Quarter,Contemporary,0,12.2,6.0,1
328800.0,1654.0,2,1.0,21,2114.0,0,2,Downtown Loft District,Colonial,0,0.3,9.0,1
305600.0,1355.0,2,2.0,3,2776.0,3,1,Elm Street,Ranch,1,0.5,7.0,0
371600.0,1932.0,2,2.0,44,3414.0,2,1,Lakeview,Townhouse,0,11.4,3.0,0
465900.0,2142.0,4,2.0,2,4450.0,1,2,Sunset Hills,Contemporary,1,2.7,9.0,0
283600.0,2109.0,5,4.0,36,1452.0,2,2,,Colonial,0,20.7,8.0,0
185100.0,691.0,1,2.0,9,,2,2,Oak Park,Townhouse,0,1.1,6.0,0
372200.0,1988.0,4,4.0,5,4751.0,2,1,Elm Street,Craftsman,0,2.6,10.0,0
589400.0,2556.0,5,4.0,67,3305.0,1,2,Lakeview,Townhouse,1,4.3,7.0,1
293100.0,1504.0,3,2.0,44,1218.0,2,1,Sunset Hills,Colonial,0,4.4,6.0,0
210900.0,1529.0,3,2.0,37,2877.0,1,2,Industrial Quarter,Contemporary,0,1.0,7.0,0
414300.0,2751.0,5,4.0,13,3923.0,1,1,Elm Street,Townhouse,0,7.0,6.0,0
347700.0,1528.0,3,2.0,32,2772.0,1,1,Lakeview,Townhouse,0,7.6,,0
333700.0,1983.0,3,2.0,4,3156.0,1,2,Elm Street,Colonial,0,4.6,3.0,0
199500.0,1007.0,2,2.0,87,800.0,2,1,Sunset Hills,Townhouse,1,3.8,8.0,0
527400.0,2211.0,4,4.0,18,3576.0,2,2,Sunset Hills,Colonial,0,3.5,4.0,0
330400.0,2162.0,4,3.0,21,4032.0,2,1,Industrial Quarter,Craftsman,0,5.5,6.0,0
390300.0,2007.0,4,3.0,10,,1,1,Maple Grove,Craftsman,0,1.0,7.0,0
393000.0,2207.0,5,4.0,9,2757.0,2,1,Maple Grove,Contemporary,1,22.6,8.0,0
350500.0,1897.0,4,3.0,19,2290.0,1,1,Sunset Hills,Townhouse,0,18.5,5.0,0
247800.0,1014.0,2,1.0,12,800.0,1,1,Downtown Loft District,Colonial,0,12.8,7.0,0
157000.0,509.0,1,1.0,10,1956.0,1,2,Downtown Loft District,Craftsman,0,20.4,9.0,0
195200.0,1324.0,1,1.0,12,2227.0,0,1,Industrial Quarter,Townhouse,0,6.5,9.0,0
264600.0,1801.0,3,1.0,48,2602.0,0,2,Maple Grove,Colonial,0,2.7,7.0,0
353700.0,1472.0,3,3.0,34,1470.0,2,1,Riverside Heights,Colonial,0,0.3,5.0,0
182100.0,1127.0,3,2.0,4,1867.0,2,2,Industrial Quarter,Colonial,0,4.4,5.0,1
490700.0,2084.0,4,3.0,64,2950.0,1,1,Riverside Heights,Colonial,0,6.6,8.0,1
151400.0,1295.0,1,1.0,5,1146.0,3,2,Industrial Quarter,Craftsman,1,45.0,4.0,0
494500.0,2055.0,4,3.0,38,3512.0,2,2,Downtown Loft District,Colonial,0,10.9,5.0,0
316000.0,1588.0,3,3.0,12,865.0,2,1,Oak Park,Townhouse,1,13.0,5.0,0
363600.0,1572.0,3,2.0,27,1799.0,0,2,Riverside Heights,Townhouse,1,9.1,5.0,0
522000.0,1974.0,5,4.0,8,4015.0,2,2,Oak Park,Colonial,1,4.7,6.0,0
374300.0,2291.0,4,2.0,6,3480.0,3,1,Elm Street,Townhouse,1,2.7,8.0,0
449100.0,1574.0,3,2.0,28,2569.0,2,2,Downtown Loft District,Craftsman,1,4.4,7.0,0
364800.0,1988.0,2,1.0,0,,2,1,Maple Grove,Ranch,0,3.0,,0
224400.0,1470.0,3,2.0,25,2901.0,0,2,Industrial Quarter,Colonial,0,4.9,8.0,0
622100.0,2647.0,5,4.0,2,4495.0,2,1,Sunset Hills,Townhouse,1,7.8,8.0,0
199600.0,840.0,1,1.0,8,800.0,1,1,Sunset Hills,Colonial,1,20.1,8.0,0
180700.0,1286.0,2,2.0,16,905.0,1,1,Industrial Quarter,Townhouse,0,19.8,7.0,0
301500.0,,2,2.0,3,2551.0,3,2,Elm Street,Townhouse,0,4.5,9.0,0
192800.0,680.0,1,1.0,0,800.0,1,2,Sunset Hills,Craftsman,0,0.7,8.0,0
168300.0,1079.0,1,1.0,1,1030.0,1,2,Industrial Quarter,Craftsman,0,4.0,8.0,0
256200.0,951.0,2,1.0,48,1045.0,2,1,Riverside Heights,Craftsman,1,2.7,8.0,0
386300.0,2370.0,6,4.0,3,5024.0,1,2,Maple Grove,Colonial,0,8.6,5.0,0
327600.0,1516.0,3,2.0,27,2847.0,1,2,Lakeview,Contemporary,0,9.2,6.0,0
439200.0,1740.0,4,2.0,29,2704.0,2,3,Riverside Heights,Ranch,0,0.3,8.0,1
414400.0,2501.0,5,4.0,16,3699.0,1,1,Maple Grove,Townhouse,0,1.4,2.0,0
715400.0,3053.0,6,4.0,14,3883.0,1,2,Riverside Heights,Townhouse,0,0.7,7.0,0
423800.0,1811.0,3,2.0,25,3592.0,3,3,Sunset Hills,Contemporary,0,8.4,7.0,0
469600.0,2774.0,5,4.0,32,4034.0,2,2,Oak Park,Craftsman,0,6.7,9.0,0
626200.0,2589.0,5,4.0,7,3418.0,3,3,Downtown Loft District,Contemporary,0,2.3,6.0,0
419300.0,1532.0,3,1.0,26,1391.0,0,1,Downtown Loft District,Townhouse,1,1.0,6.0,1
202600.0,859.0,2,1.0,19,800.0,1,1,Oak Park,Contemporary,1,11.9,8.0,1
442800.0,2258.0,4,2.0,104,4640.0,0,2,Riverside Heights,Colonial,0,0.7,8.0,1
478800.0,1721.0,3,2.0,3,2594.0,3,2,Riverside Heights,Craftsman,0,3.7,8.0,0
276200.0,,4,4.0,26,3571.0,0,1,Elm Street,Townhouse,0,19.8,9.0,0
181600.0,877.0,2,1.0,7,800.0,1,2,Lakeview,Ranch,0,13.4,,0
221500.0,1280.0,4,3.0,14,1675.0,1,1,Industrial Quarter,Craftsman,0,4.0,6.0,1
256000.0,1267.0,2,2.0,21,2207.0,3,1,Oak Park,Ranch,0,13.3,9.0,0
225300.0,1523.0,2,1.0,8,800.0,1,1,Industrial Quarter,Colonial,0,2.4,,0
614000.0,2741.0,5,3.0,0,3412.0,2,2,Lakeview,Ranch,0,20.4,4.0,0
295600.0,1701.0,3,2.0,17,1614.0,3,2,Maple Grove,Colonial,0,3.5,4.0,1
584100.0,2344.0,5,4.0,3,3057.0,2,1,Riverside Heights,Colonial,0,4.5,6.0,1
676200.0,3841.0,7,5.0,8,4373.0,2,2,Maple Grove,Contemporary,1,5.7,10.0,0
475600.0,1928.0,3,2.0,8,3088.0,2,1,Downtown Loft District,Craftsman,0,3.8,7.0,1
316000.0,1332.0,2,2.0,3,1255.0,1,1,Sunset Hills,Colonial,1,1.6,6.0,0
555300.0,,5,4.0,2,4805.0,2,1,Lakeview,Contemporary,0,11.1,5.0,1
363900.0,2268.0,5,4.0,27,2884.0,1,1,Industrial Quarter,Colonial,0,5.0,5.0,1
339500.0,1561.0,4,3.0,86,1758.0,2,2,Lakeview,Townhouse,0,1.7,9.0,0
191900.0,1541.0,3,2.0,27,1506.0,1,2,Industrial Quarter,Ranch,0,18.6,10.0,0
337100.0,2031.0,2,2.0,40,2491.0,1,2,Maple Grove,Ranch,0,4.3,5.0,0
338700.0,2307.0,3,3.0,3,2351.0,3,3,Elm Street,Craftsman,0,2.6,6.0,1
518100.0,1937.0,3,2.0,14,2266.0,2,1,Downtown Loft District,Townhouse,1,7.2,9.0,0
388200.0,1895.0,3,2.0,23,2669.0,1,1,Oak Park,Colonial,0,2.1,9.0,0
614300.0,2741.0,5,4.0,6,2726.0,1,1,Sunset Hills,Contemporary,0,5.3,6.0,0
362900.0,2278.0,5,3.0,19,3288.0,1,1,Oak Park,Ranch,0,22.6,7.0,0
312600.0,1474.0,3,2.0,3,800.0,3,1,Riverside Heights,Colonial,0,16.9,3.0,0
445100.0,2349.0,4,3.0,12,3894.0,0,2,Oak Park,Townhouse,0,12.9,6.0,0
395900.0,1451.0,3,3.0,5,1824.0,0,1,Lakeview,Ranch,0,2.3,10.0,0
533500.0,2513.0,4,3.0,28,3741.0,1,3,Sunset Hills,Townhouse,0,3.3,9.0,0
507700.0,1968.0,3,2.0,20,2061.0,2,2,Downtown Loft District,Craftsman,0,2.0,8.0,0
309100.0,1828.0,3,2.0,1,2917.0,2,2,Elm Street,Craftsman,0,5.8,7.0,0
341100.0,2634.0,5,4.0,13,2277.0,2,1,Industrial Quarter,Townhouse,0,15.3,6.0,0
193400.0,1079.0,2,2.0,31,800.0,3,1,Oak Park,Ranch,0,5.4,6.0,0
459600.0,2509.0,5,4.0,11,1915.0,2,1,Oak Park,Townhouse,0,1.4,6.0,0
273100.0,1660.0,4,3.0,6,2290.0,2,2,Elm Street,Townhouse,0,8.1,5.0,0
200300.0,1090.0,2,2.0,0,983.0,2,2,Industrial Quarter,Colonial,0,1.3,7.0,0
307500.0,1429.0,2,2.0,15,2130.0,2,1,Oak Park,Townhouse,0,0.4,8.0,0
416200.0,1974.0,3,2.0,2,3293.0,2,2,Lakeview,Contemporary,0,13.7,10.0,0
497000.0,1942.0,3,2.0,35,1842.0,3,1,Riverside Heights,Townhouse,1,0.3,5.0,1
493400.0,2080.0,5,3.0,15,3694.0,3,2,Lakeview,Colonial,1,0.4,7.0,0
418500.0,1794.0,4,3.0,19,2096.0,3,2,Sunset Hills,Townhouse,0,7.0,4.0,0
295700.0,1773.0,3,2.0,105,2164.0,1,3,Sunset Hills,Colonial,1,14.2,8.0,0
418000.0,2384.0,6,5.0,28,3159.0,2,1,Maple Grove,Townhouse,0,8.8,7.0,0
664600.0,3422.0,6,6.0,8,5651.0,0,2,Maple Grove,Craftsman,1,2.5,4.0,0
604500.0,2823.0,5,3.0,22,2555.0,2,2,Riverside Heights,Contemporary,0,4.0,9.0,0
